months	alive	dead	censored
0	10	0	0
1	10	0	0
2	10	0	0
3	10	0	0
4	10	0	0
5	10	0	0
6	10	1	0
7	9	0	0
8	9	0	0
9	9	0	0
10	9	0	0
11	9	0	0
12	9	0	0
13	9	0	0
14	9	0	0
15	9	0	0
16	9	0	0
17	9	0	0
18	9	0	0
19	9	0	0
20	9	0	0
21	9	0	0
22	9	0	0
23	9	0	0
24	9	0	1
25	8	0	0
26	8	0	0
27	8	0	0
28	8	0	0
29	8	1	0
30	7	0	0
31	7	0	0
32	7	0	0
33	7	0	0
34	7	0	0
35	7	0	0
36	7	0	0
37	7	0	0
38	7	0	0
39	7	0	0
40	7	0	0
41	7	0	0
42	7	0	0
43	7	0	0
44	7	0	0
45	7	0	0
46	7	0	0
47	7	0	0
48	7	0	2
49	5	0	0
50	5	0	0
51	5	0	0
52	5	0	0
53	5	0	0
54	5	0	0
55	5	0	0
56	5	0	0
57	5	0	0
58	5	0	0
59	5	0	0
60	5	0	0
61	5	0	0
62	5	0	0
63	5	0	0
64	5	0	0
65	5	0	0
66	5	0	0
67	5	0	0
68	5	0	0
69	5	0	0
70	5	0	0
71	5	0	0
72	5	0	0
73	5	0	0
74	5	0	0
75	5	0	0
76	5	0	0
77	5	0	0
78	5	0	0
79	5	0	0
80	5	0	0
81	5	0	0
82	5	0	0
83	5	0	0
84	5	1	0
85	4	0	0
86	4	0	0
87	4	0	0
88	4	0	0
89	4	0	0
90	4	0	0
91	4	0	0
92	4	0	0
93	4	0	0
94	4	0	0
95	4	0	0
96	4	0	0
97	4	0	0
98	4	1	0
99	3	0	0
100	3	0	0
101	3	0	0
102	3	0	0
103	3	0	0
104	3	0	0
105	3	0	0
106	3	0	0
107	3	0	0
108	3	0	0
109	3	0	0
110	3	0	0
111	3	0	0
112	3	0	0
113	3	0	0
114	3	0	0
115	3	0	0
116	3	0	0
117	3	0	0
118	3	0	0
119	3	0	0
120	3	0	2
121	1	0	0
122	1	0	0
123	1	0	0
124	1	0	0
125	1	0	0
126	1	0	0
127	1	0	0
128	1	0	0
129	1	0	0
130	1	0	0
131	1	0	0
132	1	0	0
133	1	0	0
134	1	0	0
135	1	0	0
136	1	0	0
137	1	0	0
138	1	0	0
139	1	0	0
140	1	0	0
141	1	0	0
142	1	0	0
143	1	0	0
144	1	0	0
145	1	0	0
146	1	0	0
147	1	0	0
148	1	0	0
149	1	0	0
150	1	0	0
151	1	0	0
152	1	0	0
153	1	0	0
154	1	0	0
155	1	0	0
156	1	0	0
157	1	0	0
158	1	0	0
159	1	0	0
160	1	0	0
161	1	0	0
162	1	0	0
163	1	0	0
164	1	0	0
165	1	0	0
166	1	0	0
167	1	0	0
168	1	0	0
169	1	0	0
170	1	0	0
171	1	0	0
172	1	0	0
173	1	0	0
174	1	0	0
175	1	0	0
176	1	0	0
177	1	0	0
178	1	0	0
179	1	0	0
180	1	0	0
181	1	0	0
182	1	0	0
183	1	0	0
184	1	0	0
185	1	0	0
186	1	0	0
187	1	0	0
188	1	0	0
189	1	0	0
190	1	0	0
191	1	0	0
192	1	0	0
193	1	0	0
194	1	0	0
195	1	0	0
196	1	0	0
197	1	0	0
198	1	0	0
199	1	0	0
200	1	0	0
201	1	0	0
202	1	0	0
203	1	0	0
204	1	0	0
205	1	0	0
206	1	0	0
207	1	0	0
208	1	0	0
209	1	0	0
210	1	0	0
211	1	0	0
212	1	0	0
213	1	0	0
214	1	0	0
215	1	0	0
216	1	0	0
217	1	0	0
218	1	0	0
219	1	0	0
220	1	0	0
221	1	0	0
222	1	0	0
223	1	0	0
224	1	0	0
225	1	0	0
226	1	0	0
227	1	0	0
228	1	0	0
229	1	0	0
230	1	0	0
231	1	0	0
232	1	0	0
233	1	0	0
234	1	0	0
235	1	0	0
236	1	0	0
237	1	0	0
238	1	0	0
239	1	0	0
240	1	0	1
241	0	0	0
242	0	0	0
243	0	0	0
244	0	0	0
245	0	0	0
246	0	0	0
247	0	0	0
248	0	0	0
249	0	0	0
250	0	0	0
251	0	0	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
256	0	0	0
257	0	0	0
258	0	0	0
259	0	0	0
260	0	0	0
261	0	0	0
262	0	0	0
263	0	0	0
264	0	0	0
265	0	0	0
266	0	0	0
267	0	0	0
268	0	0	0
269	0	0	0
270	0	0	0
271	0	0	0
272	0	0	0
273	0	0	0
274	0	0	0
275	0	0	0
276	0	0	0
277	0	0	0
278	0	0	0
279	0	0	0
280	0	0	0
281	0	0	0
282	0	0	0
283	0	0	0
284	0	0	0
285	0	0	0
286	0	0	0
287	0	0	0
288	0	0	0
289	0	0	0
290	0	0	0
291	0	0	0
292	0	0	0
293	0	0	0
294	0	0	0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
299	0	0	0
300	0	0	0
301	0	0	0
302	0	0	0
303	0	0	0
304	0	0	0
305	0	0	0
306	0	0	0
307	0	0	0
308	0	0	0
309	0	0	0
310	0	0	0
311	0	0	0
312	0	0	0
313	0	0	0
314	0	0	0
315	0	0	0
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	0	0	0
322	0	0	0
323	0	0	0
324	0	0	0
325	0	0	0
326	0	0	0
327	0	0	0
328	0	0	0
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	0	0	0
334	0	0	0
335	0	0	0
336	0	0	0
337	0	0	0
338	0	0	0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0	0	0
348	0	0	0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	0	0	0
357	0	0	0
358	0	0	0
359	0	0	0
360	0	0	0
